stl,fl,age,sex,year,source,species
78.0,62.0,0.916666667,f,2008.0,qld,abt
73.5,57.0,0.916666667,f,2008.0,qld,abt
74.0,58.0,0.916666667,f,2008.0,qld,abt
78.0,61.0,0.916666667,m,2008.0,qld,abt
75.0,59.0,0.916666667,f,2008.0,qld,abt
74.0,58.0,0.916666667,m,2008.0,qld,abt
123.0,96.0,6.0,m,2008.0,qld,abt
148.0,116.0,6.0,f,2008.0,qld,abt
63.0,50.0,0.0,f,2008.0,qld,abt
62.0,49.0,0.0,m,2008.0,qld,abt
97.2,77.1,3.0,f,2009.0,qld,abt
92.6,72.9,2.0,m,2009.0,qld,abt
89.6,70.5,3.0,m,2009.0,qld,abt
76.8,60.2,1.0,m,2009.0,qld,abt
82.91304247,65.5,2.0,m,2009.0,qld,abt
143.4,115.2,8.0,m,2009.0,qld,abt
92.0,72.3,3.0,f,2009.0,qld,abt
79.4,62.6,1.0,m,2009.0,qld,abt
134.8,106.2,7.0,f,2009.0,qld,abt
135.6,107.5,10.0,m,2009.0,qld,abt
166.0,132.0,11.0,f,2009.0,qld,abt
90.11915687,71.5,2.0,f,2009.0,qld,abt
137.0,110.0,7.0,f,2009.0,qld,abt
77.4,60.8,1.0,f,2009.0,qld,abt
80.1,63.2,2.0,f,2009.0,qld,abt
76.1,60.5,,m,2009.0,qld,abt
83.3,66.0,2.0,m,2009.0,qld,abt
74.3,58.6,1.0,m,2009.0,qld,abt
90.8,71.7,2.0,f,2009.0,qld,abt
78.4,62.3,1.0,m,2009.0,qld,abt
76.0,61.0,1.0,f,2009.0,qld,abt
75.3,60.0,1.0,f,2009.0,qld,abt
91.92068547,73.0,2.0,f,2009.0,qld,abt
148.0,121.8,9.0,m,2009.0,qld,abt
80.0,64.0,0.583333333,f,2007.0,qld,abt
69.5,55.5,0.583333333,m,2007.0,qld,abt
80.0,63.0,1.583333333,m,2007.0,qld,abt
84.5,67.0,1.833333333,m,2007.0,qld,abt
88.2,70.0,1.833333333,f,2007.0,qld,abt
89.0,69.5,1.833333333,m,2007.0,qld,abt
120.0,82.5,3.833333333,m,2007.0,qld,abt
140.0,90.0,5.833333333,m,2007.0,qld,abt
125.0,83.0,,m,2007.0,qld,abt
89.5,71.0,1.833333333,f,2007.0,qld,abt
90.5,71.0,1.833333333,m,2007.0,qld,abt
99.12679987,79.0,2.833333333,f,2007.0,qld,abt
133.9563528,108.0,8.833333333,m,2007.0,qld,abt
98.0,77.5,2.833333333,m,2007.0,qld,abt
95.5,75.8,1.833333333,m,2007.0,qld,abt
88.4,70.0,1.833333333,m,2007.0,qld,abt
156.0,126.0,13.83333333,f,2007.0,qld,abt
75.0,60.0,0.833333333,m,2007.0,qld,abt
74.5,55.9,0.833333333,f,2007.0,qld,abt
67.8,53.5,0.833333333,f,2007.0,qld,abt
103.0,81.0,3.833333333,m,2007.0,qld,abt
83.5,66.0,2.833333333,f,2007.0,qld,abt
75.0,68.0,0.833333333,m,2007.0,qld,abt
97.5,76.5,1.833333333,m,2007.0,qld,abt
94.5,76.0,3.833333333,f,2007.0,qld,abt
139.0,,6.833333333,f,2007.0,qld,abt
72.0,57.0,0.833333333,m,2007.0,qld,abt
90.0,70.0,1.833333333,m,2007.0,qld,abt
82.0,65.0,1.833333333,m,2007.0,qld,abt
112.0,88.0,3.833333333,m,2007.0,qld,abt
87.0,68.0,1.833333333,m,2007.0,qld,abt
142.0,112.0,6.833333333,m,2007.0,qld,abt
135.0,110.0,6.833333333,m,2007.0,qld,abt
149.0,129.0,7.833333333,m,2007.0,qld,abt
134.0,109.0,6.833333333,m,2007.0,qld,abt
125.0,99.0,5.833333333,m,2007.0,qld,abt
130.0,100.0,5.833333333,m,2007.0,qld,abt
105.0,88.0,3.833333333,m,2007.0,qld,abt
70.0,55.0,0.833333333,m,2007.0,qld,abt
74.0,58.0,0.833333333,f,2007.0,qld,abt
143.0,115.0,7.833333333,f,2007.0,qld,abt
95.5,75.0,1.833333333,m,2007.0,qld,abt
88.5,69.0,1.833333333,f,2007.0,qld,abt
99.0,77.5,2.833333333,m,2007.0,qld,abt
92.5,73.0,1.833333333,m,2007.0,qld,abt
150.0,122.0,8.833333333,f,2007.0,qld,abt
162.0,134.0,12.83333333,f,2007.0,qld,abt
166.0,133.0,11.83333333,f,2007.0,qld,abt
84.0,66.0,1.833333333,m,2007.0,qld,abt
87.0,69.0,2.833333333,m,2007.0,qld,abt
69.5,55.0,0.833333333,f,2007.0,qld,abt
92.0,72.0,1.833333333,f,2007.0,qld,abt
87.3,68.0,1.416666667,f,2008.0,qld,abt
81.11151387,64.0,1.416666667,m,2008.0,qld,abt
154.0,121.0,7.416666667,f,2008.0,qld,abt
153.0,119.0,8.416666667,f,2008.0,qld,abt
160.0,132.0,9.416666667,f,2008.0,qld,abt
74.0,57.9,0.416666667,f,2008.0,qld,abt
114.7400477,92.0,4.416666667,m,2008.0,qld,abt
100.6881247,80.3,4.416666667,m,2008.0,qld,abt
103.3303666,82.5,3.416666667,m,2008.0,qld,abt
86.0,67.7,1.416666667,f,2008.0,qld,abt
68.5,53.8,0.416666667,f,2008.0,qld,abt
65.8,52.0,0.416666667,f,2008.0,qld,abt
72.6,57.3,0.416666667,f,2008.0,qld,abt
73.5,58.6,0.416666667,f,2008.0,qld,abt
69.5,54.6,0.416666667,m,2008.0,qld,abt
97.0,77.0,4.416666667,m,2008.0,qld,abt
97.0,75.0,2.416666667,m,2008.0,qld,abt
68.2,53.9,0.416666667,m,2008.0,qld,abt
83.51355201,66.0,1.416666667,m,2008.0,qld,abt
71.50336134,56.0,0.416666667,f,2008.0,qld,abt
70.5,57.0,0.416666667,f,2008.0,qld,abt
73.3,57.5,0.416666667,f,2008.0,qld,abt
84.5,66.5,1.416666667,m,2008.0,qld,abt
62.3,49.0,0.416666667,m,2008.0,qld,abt
65.0,51.0,0.416666667,m,2008.0,qld,abt
65.0,51.0,0.416666667,m,2008.0,qld,abt
71.8,56.0,0.416666667,f,2008.0,qld,abt
73.1,57.5,0.416666667,f,2008.0,qld,abt
67.6,53.0,0.416666667,m,2008.0,qld,abt
65.0,51.0,,f,2008.0,qld,abt
73.2,55.8,0.833333333,f,2007.0,qld,abt
70.1,55.8,0.833333333,f,2007.0,qld,abt
77.6,60.5,0.833333333,f,2007.0,qld,abt
76.1,60.5,0.833333333,m,2007.0,qld,abt
