stl,fl,age,sex,year,source,species
96.5,74.9,2.833,m,2007,nan,sss
100.7,79.3,2.833,f,2007,nan,sss
88.1,67.1,1.833,f,2007,nan,sss
87.5,67.4,1.833,m,2007,nan,sss
96.5,74.5,2.833,f,2007,nan,sss
90.6,70.5,1.833,m,2007,nan,sss
78.4,60.0,0.833,m,2007,nan,sss
90.0,71.0,,f,2007,nan,sss
94.7,73.7,1.833,m,2007,nan,sss
106.5,82.9,4.833,m,2007,nan,sss
73.9,58.5,,m,2007,nan,sss
94.6,73.4,2.833,m,2007,nan,sss
65.4,50.1,0.833,m,2007,nan,sss
73.8,,0.833,f,2007,nan,sss
97.0,76.6,2.833,f,2007,nan,sss
69.3,53.0,0.833,m,2007,nan,sss
91.8,71.9,2.833,m,2007,nan,sss
74.7,59.0,,f,2007,nan,sss
63.0,46.0,0.917,f,2007,nan,sss
100.9,80.0,4.917,m,2007,nan,sss
,,5.833,f,2007,nan,sss
98.5,76.8,2.917,m,2007,nan,sss
86.2,66.9,1.917,f,2007,nan,sss
96.0,75.6,2.917,m,2007,nan,sss
93.8,73.4,2.917,m,2007,nan,sss
89.0,68.6,1.833,f,2007,nan,sss
104.8,83.0,4.417,m,2008,nan,sss
99.0,77.2,2.833,f,2007,nan,sss
116.9,93.0,7.833,f,2007,nan,sss
98.4,,4.833,m,2007,nan,sss
69.1,53.3,1.0,f,2007,nan,sss
95.0,73.0,2.833,f,2007,nan,sss
91.0,69.1,1.833,f,2007,nan,sss
86.4,66.5,1.833,m,2007,nan,sss
106.0,82.8,4.833,m,2007,nan,sss
102.5,79.5,2.833,f,2007,nan,sss
94.2,73.6,2.833,m,2007,nan,sss
99.5,76.9,3.833,m,2007,nan,sss
91.8,71.7,2.833,m,2007,nan,sss
93.2,72.0,1.833,f,2007,nan,sss
97.5,75.7,2.833,f,2007,nan,sss
96.1,74.8,2.833,f,2007,nan,sss
94.6,72.8,2.833,m,2007,nan,sss
100.3,78.3,2.833,m,2007,nan,sss
111.0,88.0,,f,2008,nan,sss
107.1,85.0,4.583,m,2007,nan,sss
100.1,77.5,2.417,m,2008,nan,sss
100.6,82.6,4.417,m,2008,nan,sss
114.4,91.4,4.583,f,2008,nan,sss
106.0,81.5,3.417,m,2008,nan,sss
106.0,81.5,4.417,m,2008,nan,sss
110.3,87.3,4.583,f,2008,nan,sss
100.7,83.0,3.417,m,2008,nan,sss
108.4,85.0,3.583,f,2008,nan,sss
99.7,78.5,2.583,m,2007,nan,sss
100.5,81.5,3.417,m,2008,nan,sss
100.6,80.0,3.417,f,2008,nan,sss
64.4,48.5,0.417,m,2008,nan,sss
95.0,73.5,2.417,m,2008,nan,sss
109.0,82.0,,m,2008,nan,sss
91.8,71.4,1.833,f,2007,nan,sss
120.0,99.0,,f,2008,nan,sss
123.0,95.0,,f,2008,nan,sss
98.0,79.0,,m,2008,nan,sss
107.1,85.0,5.417,m,2008,nan,sss
95.0,74.0,,m,2008,nan,sss
105.0,76.0,,m,2008,nan,sss
91.0,71.5,1.583,nan,2007,nan,sss
81.0,62.5,1.5,f,2008,nan,sss
105.0,85.0,,f,2008,nan,sss
77.2,56.0,,m,2008,nan,sss
126.0,103.0,,f,2008,nan,sss
89.0,68.0,,m,2008,nan,sss
92.5,72.0,2.417,f,2008,nan,sss
94.0,76.0,,f,2008,nan,sss
115.0,91.0,,f,2008,nan,sss
95.5,74.0,2.417,f,2008,nan,sss
74.1,56.2,,f,2008,nan,sss
58.0,44.5,0.667,m,2007,nan,sss
107.1,85.0,4.417,f,2008,nan,sss
109.9,87.5,4.417,m,2008,nan,sss
105.5,82.5,4.583,m,2008,nan,sss
84.6,65.0,1.417,f,2008,nan,sss
113.0,87.0,,f,2008,nan,sss
117.3,94.0,,f,2008,nan,sss
124.0,99.0,,f,2008,nan,sss
97.9,77.6,,m,2007,nan,sss
70.5,53.8,0.833,f,2007,nan,sss
101.0,80.1,2.833,f,2007,nan,sss
105.0,81.8,3.667,f,2008,nan,sss
101.0,81.6,4.583,m,2008,nan,sss
68.2,52.0,0.5,m,2008,nan,sss
95.0,74.0,2.417,m,2008,nan,sss
95.0,74.8,2.417,m,2008,nan,sss
70.0,,0.583,m,2008,nan,sss
93.9,73.3,2.583,m,2008,nan,sss
107.5,83.5,3.583,f,2008,nan,sss
93.2,72.3,2.583,f,2008,nan,sss
97.5,76.0,2.417,f,2008,nan,sss
102.5,81.0,3.417,m,2008,nan,sss
92.3,70.5,2.583,f,2008,nan,sss
102.0,79.5,3.583,m,2008,nan,sss
100.0,80.0,7.583,m,2008,nan,sss
99.0,79.0,,m,2009,nan,sss
100.9,,,f,2009,nan,sss
97.6,76.7,,m,2009,nan,sss
108.8,85.5,4.917,f,2009,nan,sss
104.4,,3.417,f,2009,nan,sss
99.9,78.7,,m,2009,nan,sss
100.6,79.3,,m,2009,nan,sss
108.3,86.1,,f,2009,nan,sss
101.5,80.1,,m,2009,nan,sss
108.2,86.0,,m,2009,nan,sss
107.1,85.0,,m,2009,nan,sss
105.5,83.6,,m,2009,nan,sss
103.4,81.8,,m,2009,nan,sss
106.4,84.4,,m,2009,nan,sss
105.3,83.4,,m,2009,nan,sss
93.2,72.8,,m,2009,nan,sss
101.8,,,m,2010,nan,sss
100.8,79.5,,m,2009,nan,sss
102.0,81.0,,m,2009,nan,sss
98.9,77.5,2.917,f,2009,nan,sss
108.4,86.2,,m,2009,nan,sss
95.5,74.8,,m,2009,nan,sss
113.9,91.0,,m,2009,nan,sss
100.2,79.0,,m,2009,nan,sss
105.9,84.0,,m,2009,nan,sss
109.5,87.1,,m,2009,nan,sss
102.6,81.1,,m,2009,nan,sss
93.5,73.1,,f,2009,nan,sss
109.8,85.4,4.917,f,2009,nan,sss
97.4,76.5,,f,2009,nan,sss
103.4,81.8,,m,2009,nan,sss
102.5,84.0,,m,2009,nan,sss
110.0,87.0,4.0,f,2008,nan,sss
101.0,78.5,3.0,f,2008,nan,sss
104.0,82.3,,m,2009,nan,sss
100.0,77.0,,f,2010,nan,sss
112.0,87.5,5.0,f,2008,nan,sss
86.5,,,m,2010,nan,sss
96.3,,2.417,f,2009,nan,sss
121.0,95.0,6.0,f,2008,nan,sss
104.2,82.1,4.417,m,2009,nan,sss
102.9,81.0,3.417,m,2009,nan,sss
93.5,73.1,2.417,m,2009,nan,sss
110.5,87.0,,f,2009,nan,sss
111.9,,4.417,f,2009,nan,sss
118.0,91.5,,f,2009,nan,sss
130.1,,11.417,f,2009,nan,sss
111.4,,4.417,f,2009,nan,sss
97.5,,2.417,f,2009,nan,sss
103.0,,4.417,f,2009,nan,sss
112.5,91.0,,f,2009,nan,sss
112.7,,4.417,f,2009,nan,sss
108.5,,4.417,f,2009,nan,sss
99.7,,3.417,f,2009,nan,sss
85.6,,,f,2010,nan,sss
118.2,,4.417,f,2009,nan,sss
96.2,75.5,,f,2009,nan,sss
108.8,86.5,,f,2009,nan,sss
99.9,75.5,3.417,m,2009,nan,sss
91.7,72.1,2.417,m,2009,nan,sss
96.6,74.4,2.417,m,2009,nan,sss
100.0,78.0,,m,2009,nan,sss
101.0,83.0,,m,2009,nan,sss
123.0,100.0,,f,2009,nan,sss
111.6,87.1,4.417,f,2009,nan,sss
108.0,85.5,,f,2009,nan,sss
121.0,102.0,,f,2009,nan,sss
91.3,70.6,2.417,m,2009,nan,sss
99.0,80.0,,m,2009,nan,sss
91.5,,2.417,m,2009,nan,sss
92.8,,2.417,m,2009,nan,sss
104.9,83.1,3.417,f,2009,nan,sss
118.8,94.8,5.083,f,2008,nan,sss
118.2,97.0,6.083,f,2008,nan,sss
111.5,88.8,5.083,f,2008,nan,sss
119.0,94.2,5.083,f,2008,nan,sss
103.8,81.0,3.333,m,2009,nan,sss
98.4,77.2,2.333,m,2009,nan,sss
100.3,77.4,,m,2009,nan,sss
99.9,79.2,5.333,m,2009,nan,sss
95.1,74.5,,m,2009,nan,sss
101.9,80.5,,m,2009,nan,sss
104.5,82.7,,m,2009,nan,sss
103.3,81.7,,m,2009,nan,sss
117.5,92.0,,f,2008,nan,sss
99.5,79.0,3.333,m,2009,nan,sss
95.5,75.1,3.333,m,2009,nan,sss
120.0,93.0,,f,2009,nan,sss
105.5,84.0,6.0,m,2009,nan,sss
87.7,67.2,,m,2009,nan,sss
87.7,68.0,1.917,m,2009,nan,sss
95.1,74.0,3.333,m,2009,nan,sss
104.0,82.0,3.083,f,2008,nan,sss
