Species,Month,Year,Date,Jday,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,Gonad.stage,Run.sperm,MOD,Yolky.ova,Uter.stage,Maturity.Stage,Maternity.Stage,Emb,EmbTL,Embryo,Male.Emb,Female.Emb,Vertebrae,PCL.Vert,AgeAgree,Source
SSS,12,2008,18/11/2008,323,315149,100.4,1244,NA,11.05,f,n,NA,NA,NA,NA,5,0,5,1,1,NA,441,FALSE,1,3,TRUE,NA,7,
SSS,11,2008,7/10/2008,281,317135,56.5,734,NA,NA,m,n,NA,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,7/10/2008,281,146512,56,740,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,23/10/2008,297,296620,66,860,600,NA,m,NA,30,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,8/10/2008,282,317153,69.6,895,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,8/10/2008,282,317157,68,876,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,8/10/2008,282,317152,77.3,1030,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,8/10/2008,282,317151,70,900,NA,NA,m,n,27,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,8/10/2008,282,317150,79.3,1015,NA,NA,m,n,76,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,5.917,
SSS,11,2008,23/10/2008,297,296622,73.5,930,675,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
