Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,12/04/2010,4,2010,BW120410-18,169,205,152,,M,,130,y,,,,,,FALSE,,,,,29,32.993,153,26.775,42,42,,7,9,8,Agree,3,o,0.52460658,No MIR
NSW1,BTP,13/06/2009,6,2009,BW130609-2,204,252,183,,M,,160,y,,,,,,FALSE,,,,,29,16.32,153,34.43,54.9,54.9,,21,19,20,Agree,3,o,0.52460658,No MIR
NSW1,BTP,13/06/2009,6,2009,BW130609-4,147,186,132,,M,,60,n,,,,,,FALSE,,,,,29,16.32,153,34.43,54.9,54.9,,7,7,7,Agree,5,w,0.666923762,0
NSW1,BTP,13/06/2009,6,2009,BW130609-8,136,168,122,,F,,,,,,A,,,FALSE,,,,,29,16,153,34,54.9,54.9,,4,5,4,Agree,5,w,0.666923762,0
NSW1,BTP,14/05/2009,5,2009,BW140509-9,192,243,176,,F,,,,,,C,,,FALSE,,,,,30,1,153,25,,,,18,15,17,b/w,3,o,0.595775801,No MIR
NSW1,BTP,14/06/2009,6,2009,BW140609-10,194,237,174,,F,,,,,,F,,,FALSE,,,,,28,26,153,42,58.5,58.5,,13,12,12,Michelle,4,w,0.817703524,0
NSW1,BTP,14/06/2009,6,2009,BW140609-11,144,177,130,,M,,100,p,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,5,5,5,Agree,5,w,0.860232527,0
NSW1,BTP,14/06/2009,6,2009,BW140609-13,160,197,143,,M,,110,p,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,7,7,7,Agree,4,m,0.547972602,0
NSW1,BTP,14/06/2009,6,2009,BW140609-14,156,192,141,,M,,90,n,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,7,6,7,Pascal,4,w,0.905489222,0
NSW1,BTP,14/06/2009,6,2009,BW140609-3,153,187,136,,M,,75,n,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,6,6,6,Agree,3,w,0.79420732,0
NSW1,BTP,14/06/2009,6,2009,BW140609-4,140,174,126,,M,,50,n,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,5,5,5,Agree,3,w,0.79420732,0
NSW1,BTP,14/06/2009,6,2009,BW140609-7,147,181,131,,M,,65,n,,,,,,FALSE,,,,,28,26,153,42,58.5,58.5,,5,5,5,Agree,4,w,0.964908403,0
NSW1,BTP,15/06/2009,6,2009,BW150609-26,127,158,114,,M,,50,n,,,,,,FALSE,,,,,29,14,153,29,54.9,54.9,,4,4,4,Agree,4,w,0.964908403,0
NSW1,BTP,15/06/2009,6,2009,BW150609-7,127,157,113,,M,,60,n,,,,,,FALSE,,,,,29,14,153,29,54.9,54.9,,4,4,4,Agree,5,w,0.805942471,0
NSW1,BTP,24/03/2009,3,2009,BW240309-19,199,244,180,,M,,,y,,,,,,FALSE,,,,,29,31,153,28,40.2,40.2,,16,14,16,Pascal,4,o,0.75,No MIR
NSW1,BTP,25/06/2009,6,2009,BW250609-12,98,120,87,,F,,,,,,A,,,FALSE,,,,,29,13,153,28,32.9,32.9,,1,1,1,Agree,4,o,1.568712762,No MIR
NSW1,BTP,26/03/2010,3,2010,BW260310-5,183,220,164,,M,,170,y,,,,,,FALSE,,,,,30,29,153,8,42,42,,10,14,11,Agree,4,o,1.568712762,No MIR
NSW1,BTP,26/03/2010,3,2010,BW260310-7,178,220,158,,M,,155,y,,,,,,FALSE,,,,,30,29,153,8,42,42,,15,16,16,Agree,4,o,1.568712762,No MIR
NSW1,BTP,26/03/2010,3,2010,BW260310-8,204,252,185,,M,,180,y,,,,,,FALSE,,,,,30,29,153,8,42,42,,18,21,19,Agree,4,o,1.568712762,No MIR
