stl,fl,age,sex,year,source,species
229.0,184.0,,m,2013.0,nsw2,btp
158.0,128.0,,nan,2013.0,nsw2,btp
242.0,194.0,,m,2013.0,nsw2,btp
217.0,162.0,,m,2013.0,nsw2,btp
192.0,153.0,,m,2013.0,nsw2,btp
195.0,157.0,,m,2013.0,nsw2,btp
245.0,191.0,,m,2013.0,nsw2,btp
240.0,192.0,,m,2013.0,nsw2,btp
300.0,,,nan,2013.0,nsw2,btp
199.0,159.0,,m,2013.0,nsw2,btp
152.0,120.0,,m,2013.0,nsw2,btp
208.0,167.0,,m,2013.0,nsw2,btp
185.0,146.0,,m,2013.0,nsw2,btp
209.0,166.0,,m,2013.0,nsw2,btp
154.0,123.0,,m,2013.0,nsw2,btp
262.0,159.0,,f,2013.0,nsw2,btp
177.0,140.0,,m,2013.0,nsw2,btp
172.0,134.0,,m,2013.0,nsw2,btp
204.0,162.0,,m,2013.0,nsw2,btp
247.0,197.0,,m,2013.0,nsw2,btp
244.0,197.0,,m,2013.0,nsw2,btp
203.0,162.0,,m,2013.0,nsw2,btp
180.0,140.0,,m,2013.0,nsw2,btp
236.0,187.0,,f,2013.0,nsw2,btp
190.0,151.0,,f,2013.0,nsw2,btp
201.0,160.0,,m,2013.0,nsw2,btp
201.0,160.0,,m,2013.0,nsw2,btp
203.0,160.0,,m,2013.0,nsw2,btp
226.0,182.0,,f,2013.0,nsw2,btp
224.0,182.0,,f,2013.0,nsw2,btp
217.0,172.0,,m,2013.0,nsw2,btp
190.0,149.0,,m,2013.0,nsw2,btp
185.0,148.0,,m,2013.0,nsw2,btp
212.0,167.0,,m,2013.0,nsw2,btp
191.0,153.0,,m,2013.0,nsw2,btp
196.0,154.0,,m,2013.0,nsw2,btp
200.0,159.0,,m,2013.0,nsw2,btp
173.0,146.0,,m,2013.0,nsw2,btp
190.0,155.0,,m,2013.0,nsw2,btp
177.0,144.0,,m,2013.0,nsw2,btp
197.0,156.0,,m,2013.0,nsw2,btp
203.0,161.0,,f,2013.0,nsw2,btp
211.0,168.0,,m,2013.0,nsw2,btp
250.0,198.0,,m,2013.0,nsw2,btp
255.0,205.0,,m,2013.0,nsw2,btp
195.0,157.0,,m,2013.0,nsw2,btp
221.0,185.0,,m,2013.0,nsw2,btp
202.0,162.0,,m,2013.0,nsw2,btp
210.0,167.0,,m,2013.0,nsw2,btp
224.0,180.0,,f,2013.0,nsw2,btp
187.0,145.0,,f,2013.0,nsw2,btp
198.0,161.0,,m,2013.0,nsw2,btp
213.0,173.0,,m,2013.0,nsw2,btp
157.0,122.0,,m,2013.0,nsw2,btp
164.0,132.0,,f,2013.0,nsw2,btp
165.0,133.0,,m,2013.0,nsw2,btp
153.0,126.0,,f,2013.0,nsw2,btp
175.0,140.0,,m,2013.0,nsw2,btp
145.0,112.0,,m,2013.0,nsw2,btp
205.0,165.0,,m,2013.0,nsw2,btp
144.0,116.0,,m,2013.0,nsw2,btp
146.0,116.0,,f,2013.0,nsw2,btp
180.0,,,nan,2013.0,nsw2,btp
213.0,172.0,,m,2013.0,nsw2,btp
182.0,143.0,,f,2013.0,nsw2,btp
,,,nan,2013.0,nsw2,btp
144.0,112.0,,m,2013.0,nsw2,btp
213.0,171.0,,m,2013.0,nsw2,btp
241.0,194.0,,m,2013.0,nsw2,btp
210.0,163.0,,m,2013.0,nsw2,btp
,,,nan,2013.0,nsw2,btp
141.0,126.0,,f,2013.0,nsw2,btp
216.0,173.0,,m,2013.0,nsw2,btp
186.0,148.0,,m,2013.0,nsw2,btp
143.0,114.0,,m,2013.0,nsw2,btp
95.0,71.0,,m,2013.0,nsw2,btp
213.0,172.0,,m,2013.0,nsw2,btp
216.0,169.0,,m,2013.0,nsw2,btp
211.0,168.0,,m,2013.0,nsw2,btp
227.0,186.0,,m,2013.0,nsw2,btp
179.0,140.0,,m,2013.0,nsw2,btp
219.0,176.0,,m,2013.0,nsw2,btp
191.0,150.0,,m,2013.0,nsw2,btp
207.0,161.0,,m,2013.0,nsw2,btp
193.0,147.0,,m,2013.0,nsw2,btp
189.0,151.0,,m,2013.0,nsw2,btp
191.0,153.0,,m,2013.0,nsw2,btp
172.0,145.0,,m,2013.0,nsw2,btp
203.0,162.0,,m,2013.0,nsw2,btp
213.0,171.0,,m,2013.0,nsw2,btp
207.0,165.0,,m,2013.0,nsw2,btp
199.0,159.0,,m,2013.0,nsw2,btp
233.0,186.0,,m,2013.0,nsw2,btp
157.0,124.0,,m,2013.0,nsw2,btp
191.0,153.0,,m,2013.0,nsw2,btp
